"","anem_obs","lat2","lon2"
"235",295,10.6520921713875,124.783834068812
"236",296,10.8688837685583,124.716466830575
"237",297,10.8737428940375,124.710704603912
"238",298,10.6411235604875,124.778590381613
"239",299,10.6415333971417,124.777978328058
"240",300,10.871488878,124.714137570983
"241",301,10.633946375,124.776590125
"242",302,10.871737375,124.713774375
"243",303,10.8739585529214,124.710758270561
"244",304,10.8735244626656,124.711006510875
"245",305,10.8690347076583,124.716448439842
"246",306,10.872844816165,124.711773488483
"247",307,10.641303020525,124.781411478767
"248",309,10.8714468131125,124.714274309819
"249",310,10.86920600555,124.716325973625
"250",311,10.8714863798875,124.714244218112
"251",312,10.87145305895,124.714237601133
"252",313,10.8692813162917,124.716331247183
"253",314,10.8475932629179,124.733532049846
"254",315,10.8714052336417,124.71419263165
"255",316,10.8692393522875,124.71631348495
"256",317,10.6338782434,124.77670517635
"257",319,10.869468555525,124.716334973575
"258",320,10.869439875,124.716355375
"259",321,10.634520848325,124.7767026739
"260",322,10.8714904403625,124.714178977625
"261",323,10.63392903805,124.776665026238
"262",324,10.8714963972875,124.7141544067
"263",325,10.74377225,124.78639
"264",326,10.87136228275,124.71418810485
"265",327,10.6340183259375,124.77658404735
"266",328,10.871400930925,124.714169581408
"267",331,10.8733268788375,124.712172954731
"268",332,10.871364860155,124.71402116045
"269",333,10.7434017222813,124.786908928075
"270",334,10.872851992025,124.7121764661
"271",335,10.8715468390125,124.714246745562
"272",336,10.8613804565,124.721494889813
"273",337,10.87140934075,124.713985291312
"274",338,10.8713750902,124.713972938488
"275",340,10.641359898725,124.778108851763
"276",342,10.8715079119375,124.713870857387
"277",343,10.6325228372625,124.776890866937
"278",344,10.8716476697125,124.714070063788
"279",345,10.8716499945667,124.713984128858
"280",346,10.8716323473625,124.713884079562
"281",348,10.63388318665,124.776884146792
"282",349,10.8691290777667,124.716384017508
"283",350,10.6347186245167,124.776268663392
"284",351,10.79899549135,124.76851456915
"285",352,10.6346103390833,124.7763601403
"286",353,10.6344739454375,124.77655697275
"287",354,10.6344558962625,124.776588092588
"288",355,10.6348595323125,124.77628310355
"289",356,10.634995875875,124.776078922425
"290",357,10.8610433363125,124.72162169755
"291",358,10.6344162987,124.776462970763
"292",359,10.8714564156375,124.714199668938
