dive_num,obs_time,gps,anem_id,date,id,lat,lon
9,2018-03-08T06:43:00Z,4,2963,2018-03-08,515,10.871412693525,124.71417086665
9,2018-03-08T06:48:00Z,4,2961,2018-03-08,514,10.871384697975,124.7141842567
9,2018-03-08T06:56:00Z,4,2036,2018-03-08,513,10.87136686545,124.714169190275
9,2018-03-08T07:01:00Z,4,2964,2018-03-08,512,10.87135246955,124.714157937575
9,2018-03-08T07:13:00Z,4,2579,2018-03-08,511,10.871469208499999,124.7141094692
9,2018-03-08T07:15:00Z,4,2887,2018-03-08,533,10.871465646225001,124.71411254957499
9,2018-03-08T07:20:00Z,4,2887,2018-03-08,510,10.87147970685,124.714136647525
9,2018-03-08T07:22:00Z,4,2965,2018-03-08,509,10.87147859625,124.714144170275
9,2018-03-08T07:27:00Z,4,2965,2018-03-08,506,10.87150489445,124.714157120325
9,2018-03-08T07:32:00Z,4,2966,2018-03-08,504,10.871510070275,124.71416053595
9,2018-03-08T07:39:00Z,4,2596,2018-03-08,503,10.871517194900001,124.714141215675
9,2018-03-08T07:45:00Z,4,2967,2018-03-08,499,10.871538044875,124.7141284961
9,2018-03-08T07:45:00Z,4,2597,2018-03-08,501,10.871538044875,124.7141284961
9,2018-03-08T07:46:00Z,4,2291,2018-03-08,498,10.871537500075,124.7141278046
9,2018-03-08T07:48:00Z,4,2967,2018-03-08,497,10.871567758725,124.71411718055
9,2018-03-08T07:57:00Z,4,2968,2018-03-08,496,10.87161578705,124.714063326825
9,2018-03-08T08:05:00Z,4,2969,2018-03-08,493,10.87162425275,124.7140432731
9,2018-03-08T08:07:00Z,4,2969,2018-03-08,491,10.871641058449999,124.71405257705
10,2018-03-09T01:59:00Z,4,1135,2018-03-09,489,10.871438991725,124.71401802267499
10,2018-03-09T02:01:00Z,4,2970,2018-03-09,576,10.871444544775,124.714027347525
10,2018-03-09T02:08:00Z,4,2886,2018-03-09,488,10.871455504075,124.714037426725
10,2018-03-09T02:17:00Z,4,2971,2018-03-09,487,10.871454728749999,124.71404373415
10,2018-03-09T02:23:00Z,4,2885,2018-03-09,486,10.87148739725,124.71407344797501
10,2018-03-09T02:30:00Z,4,2973,2018-03-09,484,10.87149007945,124.7140482394
10,2018-03-09T02:35:00Z,4,2025,2018-03-09,483,10.871405820375,124.714013580225
10,2018-03-09T02:39:00Z,4,2041,2018-03-09,475,10.87140508695,124.7140111914
10,2018-03-09T02:39:00Z,4,2891,2018-03-09,477,10.87140508695,124.7140111914
10,2018-03-09T02:39:00Z,4,2892,2018-03-09,479,10.87140508695,124.7140111914
10,2018-03-09T02:46:00Z,4,2972,2018-03-09,474,10.871413887975,124.7140487423
