lat,lon,obs_time,anem_id
10.8601100743,124.7224390274,2018-03-08T03:03:00Z,2427
10.859753906249999,124.7226027888,2018-03-08T03:12:00Z,2953
10.859705752225,124.722762987925,2018-03-08T03:21:00Z,2954
10.859686725300001,124.72289374565,2018-03-08T03:29:00Z,2955
10.857764733975,124.723774180725,2018-03-08T03:55:00Z,2956
10.871587519075,124.714189076325,2018-03-08T05:52:00Z,2957
10.871588734425,124.7141772369,2018-03-08T05:54:00Z,2032
10.871589928875,124.714199008875,2018-03-08T05:59:00Z,2032
10.871589300225,124.71422099042499,2018-03-08T06:02:00Z,2958
10.87152425665,124.714275766125,2018-03-08T06:06:00Z,2283
10.87145250755,124.71420011947501,2018-03-08T06:14:00Z,2959
10.871422311749999,124.714198464075,2018-03-08T06:25:00Z,2960
